dest_path	action	union_path	union_blob	public_blob	layer	export_blob	reason
src/capabilities/runtime-resolver.ts	ADD	src/capabilities/runtime-resolver.ts	3945f70bff55dfdd69a6e1cf744798e70d2786b2		L1+L2	3945f70bff55dfdd69a6e1cf744798e70d2786b2	Union path absent from public main. Proposed add of frozen union blob.
src/capabilities/types.ts	ADD	src/capabilities/types.ts	837bd1db2a817cd8974524af100bce0e01259545		L1+L2	837bd1db2a817cd8974524af100bce0e01259545	Union path absent from public main. Proposed add of frozen union blob.
src/claude/adapters/api-adapter.ts	ADD	src/claude/adapters/api-adapter.ts	8334e8f34798705369d57d1794032c0c144aa5ca		L1+L2	8334e8f34798705369d57d1794032c0c144aa5ca	Union path absent from public main. Proposed add of frozen union blob.
src/claude/adapters/consensus-audit-sink.ts	ADD	src/claude/adapters/consensus-audit-sink.ts	6d939487e937bd85fd40e16f94b29a7fea692593		L1+L2	6d939487e937bd85fd40e16f94b29a7fea692593	Union path absent from public main. Proposed add of frozen union blob.
src/claude/adapters/multi-llm-adapter.ts	ADD	src/claude/adapters/multi-llm-adapter.ts	ff905d5bd7c5931f4ee226f38cd28b5090b1703f		L1+L2	ff905d5bd7c5931f4ee226f38cd28b5090b1703f	Union path absent from public main. Proposed add of frozen union blob.
src/claude/adapters/multi-llm-types.ts	ADD	src/claude/adapters/multi-llm-types.ts	1efa5a1f13c5fa169269837855be2b0741b796a2		L1+L2	1efa5a1f13c5fa169269837855be2b0741b796a2	Union path absent from public main. Proposed add of frozen union blob.
src/claude/adapters/openai-compatible-adapter.ts	ADD	src/claude/adapters/openai-compatible-adapter.ts	b3fee8934f63ef3aba9e728b6b1570cc9aabd7d1		L1+L2	b3fee8934f63ef3aba9e728b6b1570cc9aabd7d1	Union path absent from public main. Proposed add of frozen union blob.
src/claude/adapters/stub-adapter.ts	ADD	src/claude/adapters/stub-adapter.ts	511b18440dc3fd022cf2129ba7ab96e360bd2643		L1+L2	511b18440dc3fd022cf2129ba7ab96e360bd2643	Union path absent from public main. Proposed add of frozen union blob.
src/claude/artifact-mapper.ts	ADD	src/claude/artifact-mapper.ts	289bfe9481207c0232c11549d5bbbed7b93d266e		L1+L2	289bfe9481207c0232c11549d5bbbed7b93d266e	Union path absent from public main. Proposed add of frozen union blob.
src/claude/delivery-gate.ts	ADD	src/claude/delivery-gate.ts	de71c2a0b638fee5e584f809d71fd6dcad81e2d3		L1+L2	de71c2a0b638fee5e584f809d71fd6dcad81e2d3	Union path absent from public main. Proposed add of frozen union blob.
src/claude/evidence-basis.ts	ADD	src/claude/evidence-basis.ts	bb7330d7d0ca7b8f576d2901468c076298a6f205		L1+L2	bb7330d7d0ca7b8f576d2901468c076298a6f205	Union path absent from public main. Proposed add of frozen union blob.
src/claude/index.ts	ADD	src/claude/index.ts	2e0a3598e1a4911e585c6abbf6457971f695c431		L1+L2	2e0a3598e1a4911e585c6abbf6457971f695c431	Union path absent from public main. Proposed add of frozen union blob.
src/claude/objection-retirement.ts	ADD	src/claude/objection-retirement.ts	5f723b62ac94133a593516bc0cefed89de2bc84e		L1+L2	5f723b62ac94133a593516bc0cefed89de2bc84e	Union path absent from public main. Proposed add of frozen union blob.
src/claude/types.ts	ADD	src/claude/types.ts	ccb9af17d91bf91d8c07f2d0c0fa07d942c98938		L1+L2	ccb9af17d91bf91d8c07f2d0c0fa07d942c98938	Union path absent from public main. Proposed add of frozen union blob.
src/config/providers.ts	ADD	src/config/providers.ts	11d03838bdc473aeb05f3b39fcaa8362d61bbc5e		L1+L2	11d03838bdc473aeb05f3b39fcaa8362d61bbc5e	Union path absent from public main. Proposed add of frozen union blob.
src/constitution/approval-record.ts	ADD	src/constitution/approval-record.ts	876c254a27fe812606ee30ad70e9c27b756bf8b1		L1+L2	876c254a27fe812606ee30ad70e9c27b756bf8b1	Union path absent from public main. Proposed add of frozen union blob.
src/constitution/decision-basis.ts	ADD	src/constitution/decision-basis.ts	1c79ad42327c4fe63a5c17f6862af1dee7164322		L1+L2	1c79ad42327c4fe63a5c17f6862af1dee7164322	Union path absent from public main. Proposed add of frozen union blob.
src/constitution/fingerprint.ts	ADD	src/constitution/fingerprint.ts	f00da0400ce1c3198e0255b08489e8ce57b80294		L1+L2	f00da0400ce1c3198e0255b08489e8ce57b80294	Union path absent from public main. Proposed add of frozen union blob.
src/constitution/index.ts	ADD	src/constitution/index.ts	5d9696806f4b334d33280decefcf49e894bd6a34		L1+L2	5d9696806f4b334d33280decefcf49e894bd6a34	Union path absent from public main. Proposed add of frozen union blob.
src/constitution/repository-provenance.ts	ADD	src/constitution/repository-provenance.ts	428743bdef5c1c43aaec26509e21b352c9e46689		L1+L2	428743bdef5c1c43aaec26509e21b352c9e46689	Union path absent from public main. Proposed add of frozen union blob.
src/control/compiler.ts	ADD	src/control/compiler.ts	8371eec7f1755e25d6a4191725dc3c239265c90c		L1+L2	8371eec7f1755e25d6a4191725dc3c239265c90c	Union path absent from public main. Proposed add of frozen union blob.
src/control/constraints.ts	ADD	src/control/constraints.ts	e977835158837eea903db39795d19b5c8225b54f		L1+L2	e977835158837eea903db39795d19b5c8225b54f	Union path absent from public main. Proposed add of frozen union blob.
src/control/discover-boundary.ts	ADD	src/control/discover-boundary.ts	0a62cc90643fb4de9c09cc572dc78ec5209590ef		L1+L2	0a62cc90643fb4de9c09cc572dc78ec5209590ef	Union path absent from public main. Proposed add of frozen union blob.
src/control/drift-detector.ts	ADD	src/control/drift-detector.ts	f96adacacd4b8ae1c13ce110cf30026d6e15107a		L1+L2	f96adacacd4b8ae1c13ce110cf30026d6e15107a	Union path absent from public main. Proposed add of frozen union blob.
src/control/index.ts	ADD	src/control/index.ts	c7a4757bfa93d4e9a3a36b1572aadaa1f33aa262		L1+L2	c7a4757bfa93d4e9a3a36b1572aadaa1f33aa262	Union path absent from public main. Proposed add of frozen union blob.
src/control/types.ts	ADD	src/control/types.ts	33a3cb12ed4c0f662c067f1afb07a27c87c1cd85		L1+L2	33a3cb12ed4c0f662c067f1afb07a27c87c1cd85	Union path absent from public main. Proposed add of frozen union blob.
src/control/verify-and-resolve.ts	ADD	src/control/verify-and-resolve.ts	f866a8e2d1c8117a87147c6818aad0254998427f		L1+L2	f866a8e2d1c8117a87147c6818aad0254998427f	Union path absent from public main. Proposed add of frozen union blob.
src/cursor/adapters/inprocess-adapter.ts	ADD	src/cursor/adapters/inprocess-adapter.ts	f360b9fe2cf9bb65ff6af433e0b629c7eb6320bf		L1+L2	f360b9fe2cf9bb65ff6af433e0b629c7eb6320bf	Union path absent from public main. Proposed add of frozen union blob.
src/cursor/adapters/stub-adapter.ts	ADD	src/cursor/adapters/stub-adapter.ts	e9f5bbf5ca7737913eab5b14d7039ac6f1ef7f48		L1+L2	e9f5bbf5ca7737913eab5b14d7039ac6f1ef7f48	Union path absent from public main. Proposed add of frozen union blob.
src/cursor/artifact-mapper.ts	ADD	src/cursor/artifact-mapper.ts	d4d7e6b8f0bdb0bab92162de66204b341af8a3c2		L1+L2	d4d7e6b8f0bdb0bab92162de66204b341af8a3c2	Union path absent from public main. Proposed add of frozen union blob.
src/cursor/delivery-gate.ts	ADD	src/cursor/delivery-gate.ts	809e8d36a6611b910c30a637f5504a6e65b2d328		L1+L2	809e8d36a6611b910c30a637f5504a6e65b2d328	Union path absent from public main. Proposed add of frozen union blob.
src/cursor/glob-matcher.ts	ADD	src/cursor/glob-matcher.ts	10d3c21489ac3bf1c5236a02e7cd457f7f8ac23c		L1+L2	10d3c21489ac3bf1c5236a02e7cd457f7f8ac23c	Union path absent from public main. Proposed add of frozen union blob.
src/cursor/index.ts	ADD	src/cursor/index.ts	f9e9702b469319418d2a5ec040892564402d9168		L1+L2	f9e9702b469319418d2a5ec040892564402d9168	Union path absent from public main. Proposed add of frozen union blob.
src/cursor/ocd-evaluator.ts	ADD	src/cursor/ocd-evaluator.ts	3fd4307db07f86c1427246bc2cccbc758178e318		L1+L2	3fd4307db07f86c1427246bc2cccbc758178e318	Union path absent from public main. Proposed add of frozen union blob.
src/cursor/types.ts	ADD	src/cursor/types.ts	a37f6482d594e71aedb9d5a2c739f502758b0489		L1+L2	a37f6482d594e71aedb9d5a2c739f502758b0489	Union path absent from public main. Proposed add of frozen union blob.
src/diagnostics/build.ts	ADD	src/diagnostics/build.ts	29255490596ed409a6708cd097c1fcbe7b9d7ece		L1+L2	29255490596ed409a6708cd097c1fcbe7b9d7ece	Union path absent from public main. Proposed add of frozen union blob.
src/diagnostics/evaluate.ts	ADD	src/diagnostics/evaluate.ts	ec959f2a9578b4aa36aca05cd0b039b8533b1509		L1+L2	ec959f2a9578b4aa36aca05cd0b039b8533b1509	Union path absent from public main. Proposed add of frozen union blob.
src/diagnostics/index.ts	ADD	src/diagnostics/index.ts	022efb6e915e8e9bab5d8bb3cc9a6b1854ce2b5f		L1+L2	022efb6e915e8e9bab5d8bb3cc9a6b1854ce2b5f	Union path absent from public main. Proposed add of frozen union blob.
src/diagnostics/observe.ts	ADD	src/diagnostics/observe.ts	6d6c7293369dbde28c47a30a144d72a97dd7eda8		L1+L2	6d6c7293369dbde28c47a30a144d72a97dd7eda8	Union path absent from public main. Proposed add of frozen union blob.
src/diagnostics/render.ts	ADD	src/diagnostics/render.ts	062d35072715ba7fef90f1fbf412910a03a0b64c		L1+L2	062d35072715ba7fef90f1fbf412910a03a0b64c	Union path absent from public main. Proposed add of frozen union blob.
src/diagnostics/suggested-actions.ts	ADD	src/diagnostics/suggested-actions.ts	d3a23ef723a51a2ba825fa0b9ac9497f91984e41		L1+L2	d3a23ef723a51a2ba825fa0b9ac9497f91984e41	Union path absent from public main. Proposed add of frozen union blob.
src/diagnostics/types.ts	ADD	src/diagnostics/types.ts	02855810f10ce8975bf95ebff1a0ae04a01bafe0		L1+L2	02855810f10ce8975bf95ebff1a0ae04a01bafe0	Union path absent from public main. Proposed add of frozen union blob.
src/evidence-basis/index.ts	ADD	src/evidence-basis/index.ts	85b5734c338c9e8bd83fcd14e5145028a215a1e0		L1+L2	85b5734c338c9e8bd83fcd14e5145028a215a1e0	Union path absent from public main. Proposed add of frozen union blob.
src/evidence-basis/types.ts	ADD	src/evidence-basis/types.ts	dcd71adb90eb7cee3c446f3f972ddc76396a4591		L1+L2	dcd71adb90eb7cee3c446f3f972ddc76396a4591	Union path absent from public main. Proposed add of frozen union blob.
src/evidence/index.ts	ADD	src/evidence/index.ts	16bff0f6be89e90a9111e65440a693cd6e4b8a3f		L1+L2	16bff0f6be89e90a9111e65440a693cd6e4b8a3f	Union path absent from public main. Proposed add of frozen union blob.
src/evidence/observe.ts	ADD	src/evidence/observe.ts	473f8c32938c7342a58de83ab309c352be4ef3ad		L1+L2	473f8c32938c7342a58de83ab309c352be4ef3ad	Union path absent from public main. Proposed add of frozen union blob.
src/evidence/observer-sink.ts	ADD	src/evidence/observer-sink.ts	78d502eeeee20ab293f17e8db8f5498334f398d4		L1+L2	78d502eeeee20ab293f17e8db8f5498334f398d4	Union path absent from public main. Proposed add of frozen union blob.
src/evidence/openalex-adapter.ts	ADD	src/evidence/openalex-adapter.ts	52906e44995204883562aee9cbe4424775884bd5		L1+L2	52906e44995204883562aee9cbe4424775884bd5	Union path absent from public main. Proposed add of frozen union blob.
src/evidence/types.ts	ADD	src/evidence/types.ts	fc565ef0a6c429490b8d4afac3691a9b1b9cf355		L1+L2	fc565ef0a6c429490b8d4afac3691a9b1b9cf355	Union path absent from public main. Proposed add of frozen union blob.
src/execution/boundary-observer.ts	ADD	src/execution/boundary-observer.ts	2eb9a121dea43aa83825128ec26f7ec654633cdc		L1+L2	2eb9a121dea43aa83825128ec26f7ec654633cdc	Union path absent from public main. Proposed add of frozen union blob.
src/execution/claude/claude-execution-coordinator.ts	ADD	src/execution/claude/claude-execution-coordinator.ts	8c1fc8b2a7787e1ad17a6e1d51592c1af7adfa08		L1+L2	8c1fc8b2a7787e1ad17a6e1d51592c1af7adfa08	Union path absent from public main. Proposed add of frozen union blob.
src/execution/claude/index.ts	ADD	src/execution/claude/index.ts	3c758cd3a487eeab236046e87b614b9c5d916e50		L1+L2	3c758cd3a487eeab236046e87b614b9c5d916e50	Union path absent from public main. Proposed add of frozen union blob.
src/execution/cursor/cursor-execution-coordinator.ts	ADD	src/execution/cursor/cursor-execution-coordinator.ts	b4d6fabf7aeb9889150116e575266e2f28c9de2e		L1+L2	b4d6fabf7aeb9889150116e575266e2f28c9de2e	Union path absent from public main. Proposed add of frozen union blob.
src/execution/cursor/index.ts	ADD	src/execution/cursor/index.ts	353ff3dc1cebff5b75aadacf90882e8bb2fed989		L1+L2	353ff3dc1cebff5b75aadacf90882e8bb2fed989	Union path absent from public main. Proposed add of frozen union blob.
src/execution/fs-boundary-observer.ts	ADD	src/execution/fs-boundary-observer.ts	6bc03dccbba35052859743fc7731ca80eb3d7353		L1+L2	6bc03dccbba35052859743fc7731ca80eb3d7353	Union path absent from public main. Proposed add of frozen union blob.
src/execution/reminders/index.ts	ADD	src/execution/reminders/index.ts	b9903096b0824ca6e9adac73b5a7ad3f090c694a		L1+L2	b9903096b0824ca6e9adac73b5a7ad3f090c694a	Union path absent from public main. Proposed add of frozen union blob.
src/execution/reminders/reminder-execution-coordinator.ts	ADD	src/execution/reminders/reminder-execution-coordinator.ts	50a2a19fc0df5340c6ea6e7851ceaaf2bcf4e0c6		L1+L2	50a2a19fc0df5340c6ea6e7851ceaaf2bcf4e0c6	Union path absent from public main. Proposed add of frozen union blob.
src/execution/reminders/reminder-execution-types.ts	ADD	src/execution/reminders/reminder-execution-types.ts	6b2e5ca13887512858fd8e7d05d432c8e2bbfb30		L1+L2	6b2e5ca13887512858fd8e7d05d432c8e2bbfb30	Union path absent from public main. Proposed add of frozen union blob.
src/execution/reminders/reminder-execution-validator.ts	ADD	src/execution/reminders/reminder-execution-validator.ts	e47e6176eda182b1af3b36e8d1fbb74a2f89a8ef		L1+L2	e47e6176eda182b1af3b36e8d1fbb74a2f89a8ef	Union path absent from public main. Proposed add of frozen union blob.
src/execution/reminders/reminder-executor.ts	ADD	src/execution/reminders/reminder-executor.ts	802f1cef7bb05ff85bc5c908d5667cccded02190		L1+L2	802f1cef7bb05ff85bc5c908d5667cccded02190	Union path absent from public main. Proposed add of frozen union blob.
src/execution/reminders/reminder-time-parser.ts	ADD	src/execution/reminders/reminder-time-parser.ts	34ee08de4c457dd2cf37a5a1e20d9739ab57a26d		L1+L2	34ee08de4c457dd2cf37a5a1e20d9739ab57a26d	Union path absent from public main. Proposed add of frozen union blob.
src/execution/session-db.ts	ADD	src/execution/session-db.ts	56d29d4cd7bf173315cf63bc7f4466f34eb53f40		L1+L2	56d29d4cd7bf173315cf63bc7f4466f34eb53f40	Union path absent from public main. Proposed add of frozen union blob.
src/execution/spec-to-execution-steps.ts	ADD	src/execution/spec-to-execution-steps.ts	e5cb10ca018ebd3598e021255fc8921e96585feb		L1+L2	e5cb10ca018ebd3598e021255fc8921e96585feb	Union path absent from public main. Proposed add of frozen union blob.
src/execution/unresolved-classification.ts	ADD	src/execution/unresolved-classification.ts	b7b37e66b2278c6df41ff6676f895727be9a3248		L1+L2	b7b37e66b2278c6df41ff6676f895727be9a3248	Union path absent from public main. Proposed add of frozen union blob.
src/executor/authority/authority-id.ts	ADD	src/executor/authority/authority-id.ts	d8290f6c7cd8dd6acebf1df52f6201440af1fe84		L1+L2	d8290f6c7cd8dd6acebf1df52f6201440af1fe84	Union path absent from public main. Proposed add of frozen union blob.
src/executor/authority/constants.ts	ADD	src/executor/authority/constants.ts	5dc5c481835566e52c168d98ea530b62c3f86b14		L1+L2	5dc5c481835566e52c168d98ea530b62c3f86b14	Union path absent from public main. Proposed add of frozen union blob.
src/executor/authority/create-execution-authority-record.ts	ADD	src/executor/authority/create-execution-authority-record.ts	3584e08ecfe31aa7df4942576693f1b602e1919a		L1+L2	3584e08ecfe31aa7df4942576693f1b602e1919a	Union path absent from public main. Proposed add of frozen union blob.
src/executor/authority/index.ts	ADD	src/executor/authority/index.ts	5b6753576bba498850333674f5051b1761b96cd6		L1+L2	5b6753576bba498850333674f5051b1761b96cd6	Union path absent from public main. Proposed add of frozen union blob.
src/executor/authority/types.ts	ADD	src/executor/authority/types.ts	7aa057831643ce0fd1e21ed632cf335f0671f57f		L1+L2	7aa057831643ce0fd1e21ed632cf335f0671f57f	Union path absent from public main. Proposed add of frozen union blob.
src/executor/authority/validate-authority.ts	ADD	src/executor/authority/validate-authority.ts	a56f9a5e85452fff44eb9714d0c2c52864f3da0e		L1+L2	a56f9a5e85452fff44eb9714d0c2c52864f3da0e	Union path absent from public main. Proposed add of frozen union blob.
src/executor/command/command-id.ts	ADD	src/executor/command/command-id.ts	c60610b72a4edc33d46a049bccdf555f603949dc		L1+L2	c60610b72a4edc33d46a049bccdf555f603949dc	Union path absent from public main. Proposed add of frozen union blob.
src/executor/command/command-registry.ts	ADD	src/executor/command/command-registry.ts	ab7f70cb004988ea8cfffd100eb1964387463db6		L1+L2	ab7f70cb004988ea8cfffd100eb1964387463db6	Union path absent from public main. Proposed add of frozen union blob.
src/executor/command/execute-command.ts	ADD	src/executor/command/execute-command.ts	425853b79509dab80aeb2b38649148cdefb2b16d		L1+L2	425853b79509dab80aeb2b38649148cdefb2b16d	Union path absent from public main. Proposed add of frozen union blob.
src/executor/command/index.ts	ADD	src/executor/command/index.ts	fc0b7421d162814d8450c2f81d2e8d8d3c634070		L1+L2	fc0b7421d162814d8450c2f81d2e8d8d3c634070	Union path absent from public main. Proposed add of frozen union blob.
